Name,Birthdate,Document_Type,Document_Number,Program_Id
Cynthia Jones,1991-10-03,CC,92389712,1
Tanner Gonzalez,1968-11-10,CC,61902113,1
William Wright,1983-01-20,CC,49191345,1
Paula Henry,1966-02-10,CC,61029077,1
Shelley Hudson,1964-11-01,CC,36643034,1
Aaron Bowman,1973-01-29,CC,36264020,1
Lindsey Buchanan,2009-06-23,CC,30259861,1
Erika Young,2005-10-11,CC,53274860,1
Aaron Galvan,1996-02-25,CC,13045280,1
Katie Molina,1966-07-10,CC,28467967,1
John Marshall,1993-07-08,CC,75851366,1
Sean Wilson,1990-08-21,CC,96168851,1
Paul Sutton,1968-10-23,CC,46936611,1
Steven Castillo,1989-04-29,CC,17429260,1
Victoria Johnson,1985-07-01,CC,88335139,1
Gail Franco,1970-08-13,CC,95666070,1
Shane Jones,1993-10-28,CC,80756685,1
Rachel Boyd,1966-08-22,CC,89941023,1
Erica Logan,1972-01-29,CC,23238192,1
Shannon Mahoney,1984-10-22,CC,53452448,1
Gabriel Johnson,2007-02-02,CC,73900961,1
Rachel Wright MD,1992-05-19,CC,72481707,1
Joseph Collins,1985-08-08,CC,67672898,1
Charles Taylor,1968-04-03,CC,38854643,1
Sandra Owen,2007-03-22,CC,50446547,1
Kimberly Smith,1986-05-11,CC,91617197,1
Eric Scott,1974-09-12,CC,23479963,1
Nancy Park,2006-08-26,CC,29992282,1
Mario Horton,1968-08-03,CC,52241460,1
Ruth Sloan,1991-06-13,CC,77054164,1
Emma Santos,1978-12-13,CC,33873699,1
Michael Miller,1979-07-07,CC,64393532,1
Scott Wallace,1977-06-09,CC,58996149,1
Jesse Taylor,2003-08-26,CC,48526367,1
Kathleen Harrison,2001-11-05,CC,90134476,1
Erin Gomez,1991-09-27,CC,95530700,1
Angela Shepherd,1979-08-25,CC,92328204,1
Mary Stephens,1983-01-24,CC,91563470,1
Donna Delgado,1971-04-23,CC,66028792,1
Steven Mullen,1990-08-14,CC,72950258,1
Amy Ortega,1977-04-22,CC,17303411,1
Maria Kane,1984-02-15,CC,72409828,1
Tonya Perez,1992-10-04,CC,63238130,1
Crystal Soto,1998-11-06,CC,23048050,1
Dawn Newman,1984-06-16,CC,57665213,1
Jesse Matthews,1990-02-19,CC,41170692,1
Darren King,1982-08-16,CC,18882552,1
Heather Ross,1968-05-12,CC,75883446,1
Alex Gill,1977-03-08,CC,77760433,1
Denise Moreno,1990-06-20,CC,65512642,1
Paula Ware,2008-10-01,CC,76419916,1
Elizabeth Thomas,1979-10-23,CC,11344454,1
Rebecca Maynard,1986-09-24,CC,13412010,1
Renee Pineda,1982-12-22,CC,27698761,1
Catherine Scott,1964-11-13,CC,34342286,1
Edward Henry,1987-08-03,CC,97579000,1
Jacob Klein,1986-05-20,CC,35498205,1
Jason Holland,1994-01-04,CC,31036433,1
Matthew Maddox,1996-05-25,CC,61337133,1
Christina Downs,1992-03-09,CC,99506857,1
Kimberly Mann,1964-10-28,CC,48283074,1
Jamie Miller,1993-04-19,CC,70960384,1
Julia Banks,1972-04-19,CC,80756696,1
Tanya Pittman,1995-05-08,CC,49178493,1
Jackson Johnson,1971-02-24,CC,25053918,1
Richard Wallace,1966-03-15,CC,98651875,1
Diane Davidson,1970-10-07,CC,32858631,1
Alyssa Garcia,1968-05-15,CC,90220690,1
Kevin Thompson,1977-11-23,CC,56658583,1
Thomas Juarez,1978-06-29,CC,24421461,1
Linda Lewis,1970-10-19,CC,88708626,1
Brian Jones,1982-10-31,CC,54167435,1
Mrs. Kathleen Thompson,2008-01-06,CC,96027866,1
Diana Guerrero,2003-12-25,CC,64425889,1
Ian Sandoval,1986-08-31,CC,74876802,1
Mr. Gary Coleman,1986-01-19,CC,39521467,1
Amanda Moore,1991-11-02,CC,96421324,1
Angelica Pham,1966-09-06,CC,26347556,1
Daniel Lane,1993-09-06,CC,52063470,1
Rebecca Cunningham,1991-12-09,CC,46707929,1
Timothy Sparks,1996-06-01,CC,97853951,1
Sylvia Harris,1999-08-31,CC,39886518,1
Kevin Phillips,1993-03-10,CC,58398449,1
Tracey Parker,1981-11-18,CC,60167268,1
Melissa Harris,2003-08-30,CC,80548473,1
Jonathan Thompson,1965-10-13,CC,70908706,1
Brandon Graves,1966-08-14,CC,67810513,1
Michelle Daniels,1990-08-02,CC,95683781,1
Keith Thomas,2005-05-19,CC,16967205,1
Angela Moss,1980-08-12,CC,80953974,1
Suzanne Odom,1991-05-09,CC,38523567,1
James Jones DDS,1981-06-06,CC,63099584,1
